post_id,text,shared_text,time,reactions,comments,shares,like_reaction,haha_reaction,love_reaction,anger_reaction,wow_reaction,sorry_reaction,tokens
2632895930099300.0,"Le mieux, pour se faire un avis, c’est de venir le tester 😉",,2020-01-14 11:02:00,2151,2889,236,1691,64,132,230,17,17,"['mieux', 'fair', 'avis', 'ven', 'test']"
2632847493437477.0,"Ça y’est : le Big Mac™ _ _ _ arrive !
Le seul indice qu’on puisse vous donner ? Pas besoin de chercher de voyelles 😉",,2020-01-10 11:07:31,1624,3864,148,1353,33,97,87,46,8,"['ça', 'big', 'arriv', 'seul', 'indic', 'puiss', 'don', 'besoin', 'cherch', 'voyel']"
2585862741469286.0,"Et joyeuse année 2020 à tous !
Qui va respecter la tradition aujourd’hui ?",,2020-01-01 11:00:25,9826,7162,626,7793,1271,717,21,8,16,"['joyeux', 'anné', 'tous', 'va', 'respect', 'tradit', 'aujourd', 'hui']"
2558487060873521.0,On a ouvert le débat… Et le résultat est sans appel 😍,,2019-12-26 11:58:19,2264,1588,53,1750,218,262,28,2,4,"['ouvert', 'résultat', 'san', 'appel']"
2558484600873767.0,"Tu vois ce fan du Big Tasty™ ?
C’est le moment de lui annoncer qu’il va avoir 4 fois plus de choix !",,2019-12-10 11:57:16,3584,3572,228,2824,24,615,34,79,8,"['vois', 'fan', 'big', 'moment', 'annonc', 'va', 'avoir', 'fois', 'plus', 'choix']"
2542536365801924.0,On vous présente la nouvelle cup McFlurry™. Elle a été imaginée par Manon et elle sera VRAIMENT disponible en 2020 dans tous nos restaurants !,,2019-12-05 11:51:46,17503,2145,808,15158,123,1819,239,136,28,"['présent', 'nouvel', 'cup', 'imagin', 'manon', 'vrai', 'disponibl', 'tous', 'restaur']"
2453637804691781.0,"À tous les parents : on ne vous en veut pas, vous restez les meilleurs ❤",,2019-11-27 11:56:33,6594,3056,500,3527,2877,164,12,4,10,"['tous', 'parent', 'veut', 'rest', 'meilleur']"
2508713722517522.0,Qui valide pour qu’on lui réserve une table ? ❤,,2019-11-20 17:59:12,3570,343,87,2499,202,855,4,5,5,"['valid', 'réserv', 'tabl']"
2503907896331438.0,"Si ton/ta meilleur(e) pote refuse de te payer McDo, montre-lui ce post 😉",,2019-11-15 11:58:19,4697,3952,505,3861,276,497,47,10,6,"['si', 'meilleur', 'e', 'pot', 'refus', 'pai', 'mcdo', 'post']"
2453508764704685.0,"Surtout quand ça embaume toute la voiture, non ? 😋",,2019-11-08 11:58:32,9895,2837,554,7938,553,1361,24,11,8,"['surtout', 'quand', 'ça', 'embaum', 'tout', 'voitur', 'non']"
2453507168038178.0,On va faire comme si on n’avait rien entendu 😳,,2019-11-04 11:57:08,3000,2364,185,2169,670,50,15,79,17,"['va', 'fair', 'comm', 'si', 'rien', 'entendu']"
2436201316435430.0,Le genre de McDo qui a un goût vraiment incroyable 😍,,2019-10-27 11:59:00,7934,7004,470,6615,685,609,13,7,5,"['genr', 'mcdo', 'goût', 'vrai', 'incroi']"
2436199719768923.0,C'est le moment de nous le dire : McDo ou MagDo ?,,2019-10-24 10:52:49,5849,2221,444,4247,1435,140,7,16,4,"['moment', 'dir', 'mcdo', 'magdo']"
2436186436436918.0,PERSONNE NE TOUCHE À MES VIGNETTES !!!,,2019-10-22 10:48:00,3011,2255,173,2329,582,71,25,2,2,"['person', 'touch', 'vignet']"
2445794408809454.0,"Est-ce que tu savais que tu pouvais postuler depuis ton canapé ?
Il suffit de prononcer la phrase magique à ton enceinte connectée Alexa ou Google et de te laisser guider !",,2019-10-18 16:38:08,340,233,83,243,72,10,7,8,0,"['sav', 'pouv', 'postul', 'depuis', 'canap', 'suff', 'prononc', 'phras', 'magiqu', 'enceint', 'connect', 'alex', 'googl', 'laiss', 'guid']"
2440948465960715.0,"Par le plus grand des hasards, tu retrouves 2€ au fond de ta poche et en plus, tu es chez McDo.
➡️ Tu pars sur quel P’Tit Plaisir ?",,2019-10-18 10:43:35,44586,2809,344,26198,6633,8127,98,3510,20,"['plus', 'grand', 'hasard', 'retrouv', 'fond', 'poch', 'plus', 'chez', 'mcdo', 'par', 'quel', 'p', 'tit', 'plais']"
2436135946441967.0,"Il n’y a rien de plus à ajouter !
Enfin si… Qu’on vous attend en restaurant 😉",,2019-10-15 10:30:00,2355,2026,189,2146,33,139,31,6,0,"['rien', 'plus', 'ajout', 'enfin', 'attend', 'restaur']"
2414502035272025.0,"Et si tu connais des gens qui ne sont pas encore au courant, c’est le moment de les prévenir 👇
MON, NOV 11, 2019
Monopoly 100% gagnant revient chez McDonald’s™ !","MON, NOV 11, 2019
Monopoly 100% gagnant revient chez McDonald’s™ !",2019-10-12 10:55:00,299,393,0,267,2,23,5,1,1,"['si', 'con', 'gen', 'encor', 'cour', 'moment', 'préven', 'nov', 'monopoly', 'gagn', 'revient', 'chez', 'mcdonald']"
2410946995627529.0,Une seule question : ÊTES-VOUS PRÊTS ?,,2019-10-09 10:56:00,6789,4610,355,5631,53,867,25,204,9,"['seul', 'question', 'prêt']"
2397301426992086.0,"À tous ceux qui aiment avoir le choix, ce post est pour vous ☺️",,2019-10-08 10:56:00,3395,2620,162,2613,108,402,233,19,20,"['tous', 'ceux', 'aiment', 'avoir', 'choix', 'post']"
2401684663220429.0,"En apparence, le choix a l’air facile… Mais en vrai, c’est compliqué hein ?",,2019-10-06 17:57:00,26549,2310,121,6785,122,19592,40,8,2,"['apparent', 'choix', 'air', 'vrai', 'compliqu', 'hein']"
2401162356605993.0,"Voir la sauce Ketchupommesfrites sur son fil d’actu, c’est bien.
Venir la tester en restaurant c’est mieux !
Dispo jusqu’à lundi soir seulement ⚠️",,2019-10-04 10:00:01,5769,8095,479,4895,179,525,38,112,20,"['voir', 'sauc', 'ketchupommesfrit', 'fil', 'actu', 'bien', 'ven', 'test', 'restaur', 'mieux', 'dispo', 'jusqu', 'lund', 'soir', 'seul']"
2401597893229106.0,"Vous mélangez le Ketchup et la sauce Pommes-Frites ?
Bonne nouvelle : on a décidé de faire pareil !
➡️ À tester dans tous nos restaurants jusqu’à lundi seulement !",,2019-10-03 16:25:57,9302,18846,1146,6793,458,1038,38,935,40,"['mélang', 'ketchup', 'sauc', 'bon', 'nouvel', 'décid', 'fair', 'pareil', 'test', 'tous', 'restaur', 'jusqu', 'lund', 'seul']"
2401581716564057.0,"Les amateurs de mélanges vont être servis !
➡️ Rendez-vous vendredi en restaurant 😉",,2019-10-01 10:46:00,4008,1195,177,3338,472,182,8,8,0,"['amateur', 'mélang', 'vont', 'être', 'serv', 'vendred', 'restaur']"
2401580326564196.0,"Allez, à nous vous pouvez nous le dire : qui fait des mélanges bizarres en mangeant McDo ?",,2019-09-30 10:35:00,1300,1227,59,1042,145,94,4,7,8,"['allez', 'pouv', 'dir', 'fait', 'mélang', 'bizarr', 'mang', 'mcdo']"
2344923985563164.0,Metiks Chopum Tesfre.,,2019-09-29 17:46:00,599,457,17,514,55,20,2,6,2,"['metik', 'chopum', 'tesfr']"
2397967056925523.0,"Si vous aviez loupé l’info, vous pouvez tenter de devenir le créateur de la prochaine cup McFlurry™ !
Pour démarrer l'expérience, c’est juste là 👉 http://bit.ly/2m0ovSg",,2019-09-28 10:39:00,34174,2498,1704,29420,131,3643,112,841,27,"['si', 'loup', 'info', 'pouv', 'tent', 'deven', 'créateur', 'prochain', 'cup', 'démarr', 'just', 'là', 'http']"
2362866317102264.0,"Oui, on avait envie de vous donner faim. Du coup on vous pose le Double Lousiana & Bacon là, juste comme ça.",,2019-09-24 10:41:13,5741,4007,337,4681,72,722,60,182,24,"['oui', 'envi', 'don', 'faim', 'coup', 'pos', 'doubl', 'lousian', 'bacon', 'là', 'just', 'comm', 'ça']"
2396085810446981.0,"Et pour tous ceux et celles qui veulent tenter l'aventure,
rdv ici ➡️ https://www.mcdonalds-recrute.fr/",,2019-09-23 17:34:39,164,103,36,146,8,8,1,1,0,"['tous', 'ceux', 'cel', 'veulent', 'tent', 'rdv', 'ici', 'http']"
2344907048898191.0,"Si vous voyez ce post, c’est parce que le Royal™ Deluxe s’en va bientôt... 😭
Alors on vous propose de l’admirer une dernière fois sous son meilleur profil 😍",,2019-09-23 10:54:00,4192,8657,301,2187,116,172,753,66,898,"['si', 'voi', 'post', 'parc', 'delux', 'va', 'bientôt', 'alor', 'propos', 'admir', 'derni', 'fois', 'sous', 'meilleur', 'profil']"
2390186801036882.0,Ton/ta meilleur(e) pote doit t’offrir le premier mot que tu lis 😏,,2019-09-22 17:55:00,504,5910,124,430,43,29,1,0,1,"['meilleur', 'e', 'pot', 'doit', 'offrir', 'premi', 'mot', 'lis']"
2382428218479407.0,C'est LE sujet dont tout le monde parle !,,2019-09-16 17:14:00,1820,1376,130,1318,317,148,21,6,10,"['sujet', 'dont', 'tout', 'mond', 'parl']"
2375195069202722.0,"Tu as toujours rêvé de créer une cup McFlurry™ ?
Bonne nouvelle : le rêve pourrait devenir réalité !
Pour démarrer l'expérience, cliquez ici : http://bit.ly/2m0ovSg",,2019-09-16 10:55:00,8755,748,473,7658,30,901,11,153,2,"['toujour', 'rêv', 'cré', 'cup', 'bon', 'nouvel', 'rêv', 'pourr', 'deven', 'réalit', 'démarr', 'cliqu', 'ici', 'http']"
2338886569500239.0,"À partir de maintenant, vous allez y penser jour et nuit : OUI, le Royal™ Deluxe est bien de retour !",,2019-09-03 10:18:33,5466,10016,866,3835,103,1346,50,120,12,"['part', 'mainten', 'allez', 'pens', 'jour', 'nuit', 'oui', 'delux', 'bien', 'retour']"
2344944892227740.0,"Fans : Il revient quand le Royal™ Deluxe ?
McDo : …
Le Royal™ Deluxe : ⬇",,2019-08-30 10:44:00,6855,7701,422,4667,719,1349,30,78,12,"['fan', 'revient', 'quand', 'delux', 'mcdo', 'delux']"
2347994385256124.0,CHOISIS BIEN KEVIN !,,2019-08-28 10:09:37,43597,25419,6773,23186,19024,1311,11,46,19,"['chois', 'bien', 'kevin']"
2333187093403520.0,"La légende dit que si vous ne clignez pas des yeux en regardant cette vidéo, vous aurez accès à l'information du siècle 🤯",,2019-08-26 10:24:00,1031,2125,134,767,70,139,41,12,2,"['légend', 'dit', 'si', 'clign', 'yeux', 'regard', 'cet', 'vidéo', 'acces', 'siecl']"
2308985022490394.0,"Certains sont VRAIMENT prêt à tout pour commander McDo !
On vous laisse juger par vous-même ⬇️",,2019-08-23 10:55:00,951,233,124,713,162,59,14,3,0,"['certain', 'vrai', 'prêt', 'tout', 'command', 'mcdo', 'laiss', 'jug']"
2271825396206357.0,On n’a pas pu mettre les 126 mélanges possibles de McFlurry™ dans un post Facebook alors on vous demande de choisir entre ces 4 ⬇️,,2019-08-16 10:54:00,36427,3168,475,5265,3804,16179,354,10797,28,"['pu', 'mettr', 'mélang', 'possibl', 'post', 'facebook', 'alor', 'demand', 'chois', 'entre']"
2314539835268246.0,"Ceux qui sont nés en septembre, c’est le moment de faire passer un message 😉",,2019-08-11 17:57:00,3474,11453,709,2806,333,306,8,11,10,"['ceux', 'né', 'septembr', 'moment', 'fair', 'pass', 'messag']"
2274323379289892.0,Que celui qui n’a pas au moins un verre Coca-Cola® à la maison lève la main 🤭,,2019-08-08 10:57:00,10092,12597,682,7902,1717,417,42,7,7,"['celui', 'moin', 'verr', 'maison', 'lev', 'main']"
2275983829123847.0,"Pour participer, dites-nous en commentaire dans quelle décennie de 1920 à nos jours vous auriez aimé vivre !",,2019-08-01 10:45:00,2681,4840,279,2438,18,210,10,3,2,"['particip', 'commentair', 'quel', 'décen', 'jour', 'aim', 'vivr']"
2271823952873168.0,"Si vous manquez d’inspiration pour choisir votre McFlurry™, ce post est pour vous 😉
Cliquez sur ce GIF pour découvrir votre prochain mélange !",,2019-07-26 10:56:00,1644,1173,226,1422,11,166,10,32,3,"['si', 'manqu', 'inspir', 'chois', 'post', 'cliqu', 'gif', 'découvr', 'prochain', 'mélang']"
2274161059306124.0,Ne scrollez pas plus loin : c’est LA meilleure nouvelle de votre fil d’actualité 😉,,2019-07-25 10:07:00,10110,11484,1312,8795,80,1081,36,116,2,"['scroll', 'plus', 'loin', 'meilleur', 'nouvel', 'fil', 'actual']"
2272615122794051.0,"On avait envie de lancer le 280 bacon d̶e̶u̶x̶ ̶p̶u̶i̶t̶s̶ depuis longtemps !
Oui, chaque détail compte 😉
Qui vient le tester ?",,2019-07-23 10:54:14,3383,4977,210,2595,25,567,37,153,6,"['envi', 'lanc', 'bacon', 'depuis', 'longtemp', 'oui', 'chaqu', 'détail', 'compt', 'vient', 'test']"
2254064071315823.0,"- On mange où ? 🤔
- Oui.
Avec le nouveau McWrap™ Barcelona, on se comprend vite.",,2019-07-21 18:03:00,4979,3329,234,4238,38,582,20,94,7,"['mang', 'où', 'oui', 'nouveau', 'barcelon', 'comprend', 'vit']"
2274293922626171.0,"La meilleure façon de se préparer à l’arrivée des verres 100 ans Coca-Cola® en France ?
S’inscrire sur cet événement 😉
SUN, AUG 18, 2019
Les verres 100 ans Coca-Cola® débarquent chez McDonald's™ !","SUN, AUG 18, 2019
Les verres 100 ans Coca-Cola® débarquent chez McDonald's™ !",2019-07-20 10:59:00,528,1097,0,441,5,66,4,12,0,"['meilleur', 'façon', 'prépar', 'arriv', 'verr', 'an', 'franc', 'inscrir', 'cet', 'éven', 'sun', 'aug', 'verr', 'an', 'débarquent', 'chez']"
2272613592794204.0,"On avait envie de lancer un de nos célèbres burgers en version bacon deux puits longtemps !
Une idée ?",,2019-07-19 10:58:00,615,1214,39,538,31,27,12,4,3,"['envi', 'lanc', 'célebr', 'burger', 'version', 'bacon', 'deux', 'puit', 'longtemp', 'idé']"
2271332996255597.0,C’est le moment de vérifier que vous connaissez votre moitié par ❤,,2019-07-17 17:03:00,11367,38880,1082,9600,1318,419,21,4,5,"['moment', 'vérifi', 'connaiss', 'moiti']"
2259182864137277.0,Qui serait chaud pour participer au prochain épisode ? 😉,,2019-07-12 11:00:01,1206,398,77,972,166,46,14,5,3,"['chaud', 'particip', 'prochain', 'épisod']"
2252788778110019.0,"Il a exactement 4min37 pour te répondre.
Sinon, il te devra 4 CBO™ (et pas un de plus, oui on a décidé, c’est comme ça)",,2019-07-10 10:54:00,2819,27050,166,2436,104,246,21,8,4,"['exact', 'répondr', 'sinon', 'devr', 'plus', 'oui', 'décid', 'comm', 'ça']"
2247266975328866.0,"Pour pouvoir crier « JE L’AIIIIIIIIIIII », il suffit simplement de venir commander un #BigBac en restaurant !
⚠️ Jusqu’à lundi soir seulement",,2019-07-05 10:00:01,7140,2955,383,6145,473,445,46,21,10,"['pouvoir', 'cri', 'aiiiiiiiiiii', 'suff', 'simpl', 'ven', 'command', 'bigbac', 'restaur', 'jusqu', 'lund', 'soir', 'seul']"
2214050948650469.0,"Au pire, séance de rattrapage le 5 juillet dans tous nos restaurants pour célébrer le #BigBac !",,2019-07-02 10:55:00,314,60,16,246,55,9,1,1,2,"['pir', 'séanc', 'rattrapag', 'juillet', 'tous', 'restaur', 'célebr', 'bigbac']"
2241737772548453.0,"Ne faites pas d’impasse : inscrivez-vous sur cet event 😉
MON, JUL 8, 2019
Du 5 au 8 juillet, on célèbre le #BigBac !","MON, JUL 8, 2019
Du 5 au 8 juillet, on célèbre le #BigBac !",2019-07-01 10:59:00,64,66,0,59,0,1,2,2,0,"['fait', 'impass', 'cet', 'event', 'jul', 'juillet', 'célebr', 'bigbac']"
2204073306314900.0,On a presque l’impression que c’est elle qui l’a passé !,,2019-06-28 10:12:40,8065,3305,886,6654,1190,205,4,10,2,"['presqu', 'impress', 'pass']"
2236731153049115.0,"OK il fait chaud.
Maintenant, la vraie question c’est : qui va t’en offrir un ? 😉",,2019-06-26 10:57:26,3884,8676,388,3077,536,226,30,8,7,"['ok', 'fait', 'chaud', 'mainten', 'vrai', 'question', 'va', 'offrir']"
2202437046478526.0,Les deux sont pas mal… Mais il faut faire un choix !,,2019-06-21 10:45:00,9859,1584,94,6157,22,3582,84,5,9,"['deux', 'faut', 'fair', 'choix']"
2197140457008185.0,Désolé.,,2019-06-19 16:59:00,12473,8542,491,10382,1565,280,92,13,141,['désol']
2197136613675236.0,Il a clairement lâché sa meilleure punchline !,,2019-06-15 10:55:00,17465,1534,845,10826,5844,771,7,10,7,"['clair', 'lâch', 'meilleur', 'punchlin']"
2203895392999358.0,On l’imagine bien en épreuve du BAC : « moi j’ai pris la spé Blind Taste McDo »,,2019-06-12 10:55:00,2199,1339,187,1809,265,104,10,4,7,"['imagin', 'bien', 'épreuv', 'bac', 'pris', 'spé', 'blind', 'tast', 'mcdo']"
2197139203674977.0,On lance le débat : meilleure sauce ou pas ?,,2019-06-10 16:59:00,9388,6835,580,6741,869,1693,46,15,24,"['lanc', 'débat', 'meilleur', 'sauc']"
2188072787914952.0,"Puisque tout est + simple avec l’app McDo+, on vous conseille donc de télécharger l’app McDo+ 😉",,2019-06-03 10:34:14,302,260,97,252,3,22,23,1,1,"['puisqu', 'tout', 'simpl', 'app', 'conseil', 'donc', 'télécharg', 'app']"
2151731364882428.0,Qui serait prêt à faire ça pour vous ?,,2019-05-29 16:56:14,6682,11839,719,5514,730,418,10,4,6,"['prêt', 'fair', 'ça']"
2158297127559185.0,"Steak charolais, Bacon fumé au bois de hêtre, Cheddar affiné 6 mois…
➡️ A-t-on vraiment besoin d’en dire plus pour présenter le nouveau Signature Double Cheddar & Smoky Bacon ?",,2019-05-26 10:52:00,4186,3097,310,3456,34,552,46,89,9,"['steak', 'charol', 'bacon', 'fum', 'bois', 'hêtr', 'cheddar', 'affin', 'vrai', 'besoin', 'dir', 'plus', 'présent', 'nouveau', 'signatur', 'doubl', 'cheddar', 'smoky', 'bacon']"
2151730644882500.0,Les mamans sont les meilleures ❤️,,2019-05-25 10:30:01,5847,3258,392,4778,340,707,7,10,5,"['maman', 'meilleur']"
2172986489423582.0,"Le nouveau Double Cheddar & Smoky Bacon, il y a ceux qui le dessinent et ceux qui viennent le goûter ! On vous laisse choisir votre camp 😋",,2019-05-21 10:32:00,1553,1205,183,1284,14,159,11,80,5,"['nouveau', 'doubl', 'cheddar', 'smoky', 'bacon', 'ceux', 'dessinent', 'ceux', 'viennent', 'goût', 'laiss', 'chois', 'camp']"
2163026153752949.0,Seuls ceux qui regarderont cette vidéo jusqu’à la fin sauront… (enfin presque),,2019-05-16 10:39:18,3544,1025,325,2963,232,255,19,73,2,"['seul', 'ceux', 'regard', 'cet', 'vidéo', 'jusqu', 'fin', 'enfin', 'presqu']"
2131687613553470.0,"Et quand le Big Tasty™ nous choisit, on le dévore, un point c’est tout.",,2019-05-14 10:46:00,6607,3667,587,5519,146,816,68,39,19,"['quand', 'big', 'chois', 'dévor', 'point', 'tout']"
2161337903921774.0,"Alors, on part sur quel mélange ?",,2019-05-13 10:00:37,5152,4986,858,4312,19,624,11,179,7,"['alor', 'part', 'quel', 'mélang']"
2155226611199570.0,HADOUKEN !!!,,2019-05-12 17:32:22,4443,963,880,2992,1162,275,5,9,0,['hadouken']
2150371888351709.0,"Pour une fois, on rêve tous d’être une balance 😉",,2019-05-07 16:57:00,7991,26102,1503,5594,1879,474,14,24,6,"['fois', 'rêv', 'tous', 'être', 'balanc']"
2140745925980972.0,"On pose ça là.
➡️ À qui ça pourrait arriver ?",,2019-04-30 16:49:38,27465,15881,1898,13464,13560,337,9,59,36,"['pos', 'ça', 'là', 'ça', 'pourr', 'arriv']"
2134689336586631.0,On aime bien poser des dilemmes sympas comme ça 😉,,2019-04-28 17:25:00,46830,6085,315,30569,171,16001,49,20,20,"['aim', 'bien', 'pos', 'dilemm', 'symp', 'comm', 'ça']"
2101353156586916.0,CQFD,,2019-04-10 10:54:27,8104,6560,806,6825,869,365,30,9,6,['cqfd']
2090110754377823.0,On l’a tous vécu au moins une fois !,,2019-04-04 17:01:00,9804,9310,819,7798,1583,337,48,14,24,"['tous', 'vécu', 'moin', 'fois']"
2099942123394686.0,"L’Egg McMuffin™ est maintenant dispo toute la journée ! Il fallait clairement fêter ça avec un peu de douceur 😊
Pour voir l’expérience en entier, ça se passe ici
➡️ https://bit.ly/2UbZMux",,2019-04-02 16:00:02,1267,819,108,1037,27,119,80,4,0,"['egg', 'mainten', 'dispo', 'tout', 'journ', 'fall', 'clair', 'fêt', 'ça', 'peu', 'douceur', 'voir', 'expérient', 'enti', 'ça', 'pass', 'ici', 'http']"
2082940645094834.0,"Un moment de douceur à n’importe quelle heure, vous l’avez rêvé, nous l’avons fait !
➡️ La gamme Egg McMuffin™ est disponible toute la journée en restaurant.",,2019-03-26 11:03:00,2716,4497,469,2065,14,528,30,76,3,"['moment', 'douceur', 'import', 'quel', 'heur', 'rêv', 'fait', 'gamm', 'egg', 'disponibl', 'tout', 'journ', 'restaur']"
2056156817773217.0,C’est comme ça que l’on reconnaît ses VRAIS amis.,,2019-03-25 11:58:00,4747,14995,596,3928,395,405,13,2,4,"['comm', 'ça', 'reconnaît', 'vrais', 'amis']"
2082561311799434.0,"Il y a 3 façons de voir ce post Facebook :
A- Faire une séance d’hypnose
B- Y voir une bonne nouvelle
C- La réponse A et B",,2019-03-22 11:55:01,6163,2837,395,5353,294,392,67,37,20,"['façon', 'voir', 'post', 'facebook', 'fair', 'séanc', 'hypnos', 'voir', 'bon', 'nouvel', 'répons', 'b']"
